experiment,dataset,instance,pseudo_l,vertices,edges,greedy,ours,improvement,percent_improvement,enumerated,accepted,rejects,K
unsigned_pseudo1,n1000_m1_unsigned_tries10.txt,1,1,2884,908523,308,325,17,5.52,30,30,0,30
unsigned_pseudo1,n1000_m1_unsigned_tries10.txt,2,1,3088,1031448,328,341,13,3.96,30,30,0,30
unsigned_pseudo1,n1000_m1_unsigned_tries10.txt,3,1,2927,995831,313,328,15,4.79,30,30,0,30
unsigned_pseudo1,n1000_m1_unsigned_tries10.txt,4,1,2784,886897,313,319,6,1.92,30,30,0,30
unsigned_pseudo1,n1000_m1_unsigned_tries10.txt,5,1,2792,849787,324,340,16,4.94,30,30,0,30
unsigned_pseudo1,n1000_m1_unsigned_tries10.txt,6,1,2885,930266,306,316,10,3.27,30,30,0,30
unsigned_pseudo1,n1000_m1_unsigned_tries10.txt,7,1,2960,923132,298,307,9,3.02,30,30,0,30
unsigned_pseudo1,n1000_m1_unsigned_tries10.txt,8,1,2890,958876,304,318,14,4.61,30,30,0,30
unsigned_pseudo1,n1000_m1_unsigned_tries10.txt,9,1,2900,931879,294,313,19,6.46,30,30,0,30
unsigned_pseudo1,n1000_m1_unsigned_tries10.txt,10,1,2903,888258,337,338,1,0.3,30,30,0,30
unsigned_pseudo1,n3000_m1_unsigned_tries10.txt,1,1,9298,9295395,939,969,30,3.19,30,30,0,30
unsigned_pseudo1,n3000_m1_unsigned_tries10.txt,2,1,9274,9916886,965,985,20,2.07,30,30,0,30
unsigned_pseudo1,n3000_m1_unsigned_tries10.txt,3,1,8798,8668611,934,962,28,3.0,30,30,0,30
unsigned_pseudo1,n3000_m1_unsigned_tries10.txt,4,1,9451,9561934,950,983,33,3.47,30,30,0,30
unsigned_pseudo1,n3000_m1_unsigned_tries10.txt,5,1,9158,9324368,968,1002,34,3.51,30,30,0,30
unsigned_pseudo1,n3000_m1_unsigned_tries10.txt,6,1,8556,7867882,954,993,39,4.09,30,30,0,30
unsigned_pseudo1,n3000_m1_unsigned_tries10.txt,7,1,8782,8253767,964,977,13,1.35,30,30,0,30
unsigned_pseudo1,n3000_m1_unsigned_tries10.txt,8,1,9008,8333044,945,972,27,2.86,30,30,0,30
unsigned_pseudo1,n3000_m1_unsigned_tries10.txt,9,1,8928,8558736,945,962,17,1.8,30,30,0,30
unsigned_pseudo1,n3000_m1_unsigned_tries10.txt,10,1,8972,8130370,991,1033,42,4.24,30,30,0,30
unsigned_pseudo1,n5000_m1_unsigned_tries10.txt,1,1,14916,23872403,1588,1627,39,2.46,30,30,0,30
unsigned_pseudo1,n5000_m1_unsigned_tries10.txt,2,1,15321,25128705,1584,1629,45,2.84,30,30,0,30
unsigned_pseudo1,n5000_m1_unsigned_tries10.txt,3,1,15408,25517469,1609,1673,64,3.98,30,30,0,30
unsigned_pseudo1,n5000_m1_unsigned_tries10.txt,4,1,14969,23886241,1590,1631,41,2.58,30,30,0,30
unsigned_pseudo1,n5000_m1_unsigned_tries10.txt,5,1,15135,24043001,1621,1671,50,3.08,30,30,0,30
unsigned_pseudo1,n5000_m1_unsigned_tries10.txt,6,1,15101,24302881,1597,1648,51,3.19,30,30,0,30
unsigned_pseudo1,n5000_m1_unsigned_tries10.txt,7,1,15072,24466336,1599,1642,43,2.69,30,30,0,30
unsigned_pseudo1,n5000_m1_unsigned_tries10.txt,8,1,14594,23309635,1595,1622,27,1.69,30,30,0,30
unsigned_pseudo1,n5000_m1_unsigned_tries10.txt,9,1,14774,25256063,1537,1583,46,2.99,30,30,0,30
unsigned_pseudo1,n5000_m1_unsigned_tries10.txt,10,1,14812,23725573,1539,1589,50,3.25,30,30,0,30
unsigned_pseudo1,n500_m1_unsigned_tries10.txt,1,1,1457,267026,154,156,2,1.3,30,30,0,30
unsigned_pseudo1,n500_m1_unsigned_tries10.txt,2,1,1296,184640,148,154,6,4.05,30,30,0,30
unsigned_pseudo1,n500_m1_unsigned_tries10.txt,3,1,1255,199245,141,141,0,0.0,30,30,0,30
unsigned_pseudo1,n500_m1_unsigned_tries10.txt,4,1,1465,246217,151,159,8,5.3,30,30,0,30
unsigned_pseudo1,n500_m1_unsigned_tries10.txt,5,1,1307,191500,141,145,4,2.84,30,30,0,30
unsigned_pseudo1,n500_m1_unsigned_tries10.txt,6,1,1523,270092,162,170,8,4.94,30,30,0,30
unsigned_pseudo1,n500_m1_unsigned_tries10.txt,7,1,1640,305713,173,172,-1,-0.58,30,30,0,30
unsigned_pseudo1,n500_m1_unsigned_tries10.txt,8,1,1613,324642,169,174,5,2.96,30,30,0,30
unsigned_pseudo1,n500_m1_unsigned_tries10.txt,9,1,1431,195466,157,166,9,5.73,30,30,0,30
unsigned_pseudo1,n500_m1_unsigned_tries10.txt,10,1,1417,210891,170,176,6,3.53,30,30,0,30
unsigned_pseudo1,n7000_m1_unsigned_tries10.txt,1,1,20865,48656805,2203,2262,59,2.68,30,30,0,30
unsigned_pseudo1,n7000_m1_unsigned_tries10.txt,2,1,21048,47569224,2182,2246,64,2.93,30,30,0,30
unsigned_pseudo1,n7000_m1_unsigned_tries10.txt,3,1,20860,47742352,2227,2295,68,3.05,30,30,0,30
unsigned_pseudo1,n7000_m1_unsigned_tries10.txt,4,1,20340,46444827,2198,2266,68,3.09,30,30,0,30
unsigned_pseudo1,n7000_m1_unsigned_tries10.txt,5,1,20893,47432945,2226,2285,59,2.65,30,30,0,30
unsigned_pseudo1,n7000_m1_unsigned_tries10.txt,6,1,21153,49059704,2175,2240,65,2.99,30,30,0,30
unsigned_pseudo1,n7000_m1_unsigned_tries10.txt,7,1,20971,48167607,2189,2255,66,3.02,30,30,0,30
unsigned_pseudo1,n7000_m1_unsigned_tries10.txt,8,1,20981,46747087,2226,2309,83,3.73,30,30,0,30
unsigned_pseudo1,n7000_m1_unsigned_tries10.txt,9,1,21223,46176429,2216,2298,82,3.7,30,30,0,30
unsigned_pseudo1,n7000_m1_unsigned_tries10.txt,10,1,21672,51421758,2233,2277,44,1.97,30,30,0,30
